Cycle,Lambda,SSE,B2,B3,B4,B5,B6,Status
1,1.000000000000e-03,3.104658249934e+10,-1.581057880330e-04,4.585068393119e-07,-1.299504089493e-10,-5.997088631660e-13,6.711649581897e-18,ACCEPT
2,1.000000000000e-04,4.795704496499e+08,-7.603726039823e-05,2.585399324829e-07,-3.620618353302e-10,-4.632170985284e-13,9.321020782603e-16,ACCEPT
3,1.000000000000e-05,2.515232457702e+07,-4.784490598367e-05,8.690306643403e-08,-2.052633993514e-10,1.117484748624e-13,8.117157663352e-17,ACCEPT
4,1.000000000000e-06,2.148192080445e+05,-3.969245046166e-05,3.119543322488e-08,-1.302648957222e-10,2.411145496920e-13,-1.609777366655e-16,ACCEPT
5,1.000000000000e-07,2.242908619657e+04,-3.802184689669e-05,1.096268697705e-08,-4.367648129694e-11,8.379479215059e-14,-5.763742355812e-17,ACCEPT
6,1.000000000000e-08,5.549114830467e+01,-3.731516072022e-05,1.742140993587e-09,-1.698464503909e-12,3.428973488671e-15,-2.420168349677e-18,ACCEPT
7,1.000000000000e-09,8.372782792570e-01,-3.727869162948e-05,1.266055005366e-09,4.698851070038e-13,-7.236394448110e-16,4.337502425302e-19,ACCEPT
8,1.000000000000e-10,8.358196367630e-01,-3.727850234966e-05,1.263584042712e-09,4.811392173392e-13,-7.451922685550e-16,4.485626281979e-19,ACCEPT
9,1.000000000000e-11,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,ACCEPT
10,1.000000000000e-12,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
11,1.000000000000e-11,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
12,1.000000000000e-10,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
13,1.000000000000e-09,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
14,1.000000000000e-08,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
15,1.000000000000e-07,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
16,1.000000000000e-06,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
17,1.000000000000e-05,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
18,1.000000000000e-04,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
19,1.000000000000e-03,8.358196362968e-01,-3.727850225137e-05,1.263582759621e-09,4.811450612357e-13,-7.452034602469e-16,4.485703197996e-19,REJECT
