Volume_m3_per_mol,Experimental_Pa,Fitted_Pa,Residual_Pa
1.855373980500e-01,9.997990192359e+03,9.997982273405e+03,7.918953435365e-03
1.837003941089e-01,1.009794979938e+04,1.009794181053e+04,7.988844257852e-03
1.818994098529e-01,1.019790900460e+04,1.019790094604e+04,8.058558658377e-03
1.801333961650e-01,1.029786780803e+04,1.029785967993e+04,8.128096886139e-03
1.784013442788e-01,1.039782620967e+04,1.039781801221e+04,8.197459064831e-03
1.767022838571e-01,1.049778420951e+04,1.049777594287e+04,8.266645521871e-03
1.750352811792e-01,1.059774180758e+04,1.059773347192e+04,8.335656413692e-03
1.733994374299e-01,1.069769900385e+04,1.069769059936e+04,8.404492045884e-03
1.717938870833e-01,1.079765579835e+04,1.079764732520e+04,8.473152491206e-03
1.702177963761e-01,1.089761219107e+04,1.089760364943e+04,8.541638148017e-03
1.686703618636e-01,1.099756818201e+04,1.099755957206e+04,8.609949070888e-03
1.671508090541e-01,1.109752377117e+04,1.109751509309e+04,8.678085616339e-03
1.656583911161e-01,1.119747895857e+04,1.119747021252e+04,8.746047913519e-03
1.641923876549e-01,1.129743374419e+04,1.129742493036e+04,8.813836233458e-03
1.627521035526e-01,1.139738812805e+04,1.139737924660e+04,8.881450839908e-03
1.613368678696e-01,1.149734211014e+04,1.149733316125e+04,8.948891785622e-03
1.599460328017e-01,1.159729569048e+04,1.159728667432e+04,9.016159463499e-03
1.585789726923e-01,1.169724886905e+04,1.169723978579e+04,9.083254048164e-03
1.572350830932e-01,1.179720164586e+04,1.179719249569e+04,9.150175654213e-03
1.559137798739e-01,1.189715402092e+04,1.189714480400e+04,9.216924703651e-03
1.546144983750e-01,1.199710599423e+04,1.199709671073e+04,9.283501198297e-03
1.533366926033e-01,1.209705756579e+04,1.209704821588e+04,9.349905520139e-03
1.520798344672e-01,1.219700873560e+04,1.219699931946e+04,9.416137774679e-03
1.508434130488e-01,1.229695950366e+04,1.229695002146e+04,9.482198238402e-03
1.496269339113e-01,1.239690986999e+04,1.239690032190e+04,9.548087155054e-03
1.484299184400e-01,1.249685983457e+04,1.249685022076e+04,9.613804731998e-03
1.472519032143e-01,1.259680939741e+04,1.259679971806e+04,9.679351163868e-03
1.460924394094e-01,1.269675855852e+04,1.269674881380e+04,9.744726648933e-03
1.449510922266e-01,1.279670731790e+04,1.279669750797e+04,9.809931452764e-03
1.438274403488e-01,1.289665567555e+04,1.289664580058e+04,9.874965688141e-03
1.427210754231e-01,1.299660363147e+04,1.299659369164e+04,9.939829735231e-03
1.416316015649e-01,1.309655118566e+04,1.309654118114e+04,1.000452375774e-02
1.405586348864e-01,1.319649833813e+04,1.319648826908e+04,1.006904789210e-02
1.395018030451e-01,1.329644508888e+04,1.329643495548e+04,1.013340240570e-02
1.384607448134e-01,1.339639143791e+04,1.339638124032e+04,1.019758749862e-02
1.374351096667e-01,1.349633738523e+04,1.349632712362e+04,1.026160350011e-02
1.364245573897e-01,1.359628293083e+04,1.359627260538e+04,1.032545047201e-02
1.354287577007e-01,1.369622807472e+04,1.369621768559e+04,1.038912865079e-02
1.344473898913e-01,1.379617281691e+04,1.379616236427e+04,1.045263829110e-02
1.334801424820e-01,1.389611715738e+04,1.389610664140e+04,1.051597964033e-02
1.325267128929e-01,1.399606109616e+04,1.399605051701e+04,1.057915298770e-02
1.315868071277e-01,1.409600463323e+04,1.409599399107e+04,1.064215839142e-02
1.306601394718e-01,1.419594776861e+04,1.419593706361e+04,1.070499614252e-02
1.297464322028e-01,1.429589050229e+04,1.429587973462e+04,1.076766640654e-02
1.288454153125e-01,1.439583283427e+04,1.439582200410e+04,1.083016938537e-02
1.279568262414e-01,1.449577476457e+04,1.449576387206e+04,1.089250541008e-02
1.270804096233e-01,1.459571629317e+04,1.459570533850e+04,1.095467468986e-02
1.262159170408e-01,1.469565742009e+04,1.469564640341e+04,1.101667713192e-02
1.253631067905e-01,1.479559814533e+04,1.479558706681e+04,1.107851350025e-02
1.245217436577e-01,1.489553846888e+04,1.489552732870e+04,1.114018349654e-02
1.236915987000e-01,1.499547839075e+04,1.499546718907e+04,1.120168767375e-02
1.228724490397e-01,1.509541791095e+04,1.509540664793e+04,1.126302596094e-02
