Cycle,Lambda,SSE,B2,B3,B4,B5,B6,B7,Status
1,1.000000000000e-03,8.171135378656e+06,-1.846181110602e-05,-1.203499124887e-08,3.972338969241e-12,2.892737573032e-14,3.630389646447e-17,-8.751352245515e-20,ACCEPT
2,1.000000000000e-04,2.738096164675e+05,-2.020457535222e-05,-6.233977465965e-09,9.920144261574e-12,1.849401761847e-14,-1.278225763529e-18,-7.364860551707e-20,ACCEPT
3,1.000000000000e-05,4.037092758256e+03,-2.093283902241e-05,-1.645870810549e-09,8.966266618416e-12,-2.310366026234e-15,-3.117264779622e-17,3.643109215003e-20,ACCEPT
4,1.000000000000e-06,2.829141040753e+02,-2.108838527315e-05,-1.511187988066e-10,5.289488963077e-12,-4.779358450585e-15,-1.383690733490e-17,2.265085091294e-20,ACCEPT
5,1.000000000000e-07,2.746772505092e+00,-2.115815430710e-05,7.513169214958e-10,2.033652738537e-12,-4.980555578159e-15,5.501245802210e-18,-1.949080261808e-21,ACCEPT
6,1.000000000000e-08,4.013677693276e-01,-2.116379056104e-05,8.142957962440e-10,1.919528481988e-12,-5.787378153810e-15,8.845779926625e-18,-5.388522324384e-21,ACCEPT
7,1.000000000000e-09,3.711011376016e-01,-2.116209410988e-05,7.760299885151e-10,2.236271867278e-12,-7.014071464099e-15,1.109888073985e-17,-6.973970878930e-21,ACCEPT
8,1.000000000000e-10,3.703816872135e-01,-2.116178133993e-05,7.690879915884e-10,2.293016859349e-12,-7.231635767354e-15,1.149520623830e-17,-7.250941904318e-21,ACCEPT
9,1.000000000000e-11,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,ACCEPT
10,1.000000000000e-12,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
11,1.000000000000e-11,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
12,1.000000000000e-10,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
13,1.000000000000e-09,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
14,1.000000000000e-08,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
15,1.000000000000e-07,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
16,1.000000000000e-06,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
17,1.000000000000e-05,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
18,1.000000000000e-04,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
19,1.000000000000e-03,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
20,1.000000000000e-02,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
21,1.000000000000e-01,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
22,1.000000000000e+00,3.703814607275e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
23,1.000000000000e+01,3.703814607271e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,ACCEPT
24,1.000000000000e+00,3.703814607271e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,REJECT
25,1.000000000000e+01,3.703814607255e-01,-2.116177570135e-05,7.689628530712e-10,2.294039690788e-12,-7.235557155364e-15,1.150234929417e-17,-7.255933615214e-21,ACCEPT
