Volume_m3_per_mol,Experimental_Pa,Fitted_Pa,Residual_Pa
2.271097480500e-01,9.999067105179e+03,9.999059487023e+03,7.618155848832e-03
2.248611366832e-01,1.009904835626e+04,1.009904067395e+04,7.682315790589e-03
2.226566157353e-01,1.019902942085e+04,1.019902167460e+04,7.746251483695e-03
2.204949010194e-01,1.029901029896e+04,1.029900248900e+04,7.809963322870e-03
2.183747577404e-01,1.039899099058e+04,1.039898311713e+04,7.873451648265e-03
2.162949981429e-01,1.049897149572e+04,1.049896355900e+04,7.936716798213e-03
2.142544792925e-01,1.059895181437e+04,1.059894381461e+04,7.999759238373e-03
2.122521009813e-01,1.069893194654e+04,1.069892388396e+04,8.062579434409e-03
2.102868037500e-01,1.079891189223e+04,1.079890376705e+04,8.125177646434e-03
2.083575670183e-01,1.089889165144e+04,1.089888346388e+04,8.187554372853e-03
2.064634073182e-01,1.099887122417e+04,1.099886297446e+04,8.249709848315e-03
2.046033766216e-01,1.109885061042e+04,1.109884229878e+04,8.311644673086e-03
2.027765607589e-01,1.119882981020e+04,1.119882143684e+04,8.373359076359e-03
2.009820779204e-01,1.129880882351e+04,1.129880038866e+04,8.434853496510e-03
1.992190772368e-01,1.139878765034e+04,1.139877915421e+04,8.496128326442e-03
1.974867374348e-01,1.149876629070e+04,1.149875773352e+04,8.557184044548e-03
1.957842655603e-01,1.159874474460e+04,1.159873612658e+04,8.618020825452e-03
1.941108957692e-01,1.169872301202e+04,1.169871433338e+04,8.678639182108e-03
1.924658881780e-01,1.179870109297e+04,1.179869235394e+04,8.739039523789e-03
1.908485277731e-01,1.189867898746e+04,1.189867018824e+04,8.799222239759e-03
1.892581233750e-01,1.199865669549e+04,1.199864783630e+04,8.859187695634e-03
1.876940066529e-01,1.209863421705e+04,1.209862529811e+04,8.918936229747e-03
1.861555311885e-01,1.219861155215e+04,1.219860257368e+04,8.978468256828e-03
1.846420715854e-01,1.229858870079e+04,1.229857966301e+04,9.037784231623e-03
1.831530226210e-01,1.239856566297e+04,1.239855656608e+04,9.096884452447e-03
