Cycle,Lambda,SSE,B2,Status
1,1.000000000000e-03,2.855171963622e+07,-1.671398901798e-04,ACCEPT
2,1.000000000000e-04,1.975660074409e+07,-1.673140126577e-04,ACCEPT
3,1.000000000000e-05,1.975660065615e+07,-1.673140300698e-04,ACCEPT
4,1.000000000000e-06,1.975660065615e+07,-1.673140300700e-04,ACCEPT
5,1.000000000000e-07,1.975660065615e+07,-1.673140300700e-04,REJECT
6,1.000000000000e-06,1.975660065615e+07,-1.673140300700e-04,REJECT
7,1.000000000000e-05,1.975660065615e+07,-1.673140300700e-04,REJECT
8,1.000000000000e-04,1.975660065615e+07,-1.673140300700e-04,REJECT
9,1.000000000000e-03,1.975660065615e+07,-1.673140300700e-04,REJECT
10,1.000000000000e-02,1.975660065615e+07,-1.673140300700e-04,REJECT
11,1.000000000000e-01,1.975660065615e+07,-1.673140300700e-04,REJECT
12,1.000000000000e+00,1.975660065615e+07,-1.673140300700e-04,REJECT
13,1.000000000000e+01,1.975660065615e+07,-1.673140300700e-04,REJECT
14,1.000000000000e+02,1.975660065615e+07,-1.673140300700e-04,REJECT
15,1.000000000000e+03,1.975660065615e+07,-1.673140300700e-04,REJECT
16,1.000000000000e+04,1.975660065615e+07,-1.673140300700e-04,REJECT
17,1.000000000000e+05,1.975660065615e+07,-1.673140300700e-04,REJECT
18,1.000000000000e+06,1.975660065615e+07,-1.673140300700e-04,REJECT
19,1.000000000000e+07,1.975660065615e+07,-1.673140300700e-04,REJECT
20,1.000000000000e+08,1.975660065615e+07,-1.673140300700e-04,REJECT
21,1.000000000000e+09,1.975660065615e+07,-1.673140300700e-04,REJECT
22,1.000000000000e+10,1.975660065615e+07,-1.673140300700e-04,REJECT
23,1.000000000000e+11,1.975660065615e+07,-1.673140300700e-04,REJECT
24,1.000000000000e+12,1.975660065615e+07,-1.673140300700e-04,REJECT
25,1.000000000000e+13,1.975660065615e+07,-1.673140300700e-04,REJECT
26,1.000000000000e+14,1.975660065615e+07,-1.673140300700e-04,REJECT
27,1.000000000000e+15,1.975660065615e+07,-1.673140300700e-04,REJECT
28,1.000000000000e+16,1.975660065615e+07,-1.673140300700e-04,REJECT
29,1.000000000000e+17,1.975660065615e+07,-1.673140300700e-04,REJECT
30,1.000000000000e+18,1.975660065615e+07,-1.673140300700e-04,REJECT
31,1.000000000000e+19,1.975660065615e+07,-1.673140300700e-04,REJECT
32,1.000000000000e+20,1.975660065615e+07,-1.673140300700e-04,REJECT
33,1.000000000000e+21,1.975660065615e+07,-1.673140300700e-04,REJECT
34,1.000000000000e+22,1.975660065615e+07,-1.673140300700e-04,REJECT
35,1.000000000000e+23,1.975660065615e+07,-1.673140300700e-04,REJECT
36,1.000000000000e+24,1.975660065615e+07,-1.673140300700e-04,REJECT
37,1.000000000000e+25,1.975660065615e+07,-1.673140300700e-04,REJECT
38,1.000000000000e+26,1.975660065615e+07,-1.673140300700e-04,REJECT
39,1.000000000000e+27,1.975660065615e+07,-1.673140300700e-04,REJECT
40,1.000000000000e+28,1.975660065615e+07,-1.673140300700e-04,REJECT
41,1.000000000000e+29,1.975660065615e+07,-1.673140300700e-04,REJECT
42,1.000000000000e+30,1.975660065615e+07,-1.673140300700e-04,REJECT
43,1.000000000000e+31,1.975660065615e+07,-1.673140300700e-04,REJECT
44,1.000000000000e+32,1.975660065615e+07,-1.673140300700e-04,REJECT
45,1.000000000000e+33,1.975660065615e+07,-1.673140300700e-04,REJECT
46,1.000000000000e+34,1.975660065615e+07,-1.673140300700e-04,REJECT
47,1.000000000000e+35,1.975660065615e+07,-1.673140300700e-04,REJECT
48,1.000000000000e+36,1.975660065615e+07,-1.673140300700e-04,REJECT
49,1.000000000000e+37,1.975660065615e+07,-1.673140300700e-04,REJECT
50,1.000000000000e+38,1.975660065615e+07,-1.673140300700e-04,REJECT
51,1.000000000000e+39,1.975660065615e+07,-1.673140300700e-04,REJECT
52,1.000000000000e+40,1.975660065615e+07,-1.673140300700e-04,REJECT
53,1.000000000000e+41,1.975660065615e+07,-1.673140300700e-04,REJECT
54,1.000000000000e+42,1.975660065615e+07,-1.673140300700e-04,REJECT
55,1.000000000000e+43,1.975660065615e+07,-1.673140300700e-04,REJECT
56,1.000000000000e+44,1.975660065615e+07,-1.673140300700e-04,REJECT
57,1.000000000000e+45,1.975660065615e+07,-1.673140300700e-04,REJECT
58,1.000000000000e+46,1.975660065615e+07,-1.673140300700e-04,REJECT
59,1.000000000000e+47,1.975660065615e+07,-1.673140300700e-04,REJECT
60,1.000000000000e+48,1.975660065615e+07,-1.673140300700e-04,REJECT
61,1.000000000000e+49,1.975660065615e+07,-1.673140300700e-04,REJECT
62,1.000000000000e+50,1.975660065615e+07,-1.673140300700e-04,REJECT
63,1.000000000000e+51,1.975660065615e+07,-1.673140300700e-04,REJECT
64,1.000000000000e+52,1.975660065615e+07,-1.673140300700e-04,REJECT
65,1.000000000000e+53,1.975660065615e+07,-1.673140300700e-04,REJECT
66,1.000000000000e+54,1.975660065615e+07,-1.673140300700e-04,REJECT
67,1.000000000000e+55,1.975660065615e+07,-1.673140300700e-04,REJECT
68,1.000000000000e+56,1.975660065615e+07,-1.673140300700e-04,REJECT
69,1.000000000000e+57,1.975660065615e+07,-1.673140300700e-04,REJECT
70,1.000000000000e+58,1.975660065615e+07,-1.673140300700e-04,REJECT
71,1.000000000000e+59,1.975660065615e+07,-1.673140300700e-04,REJECT
72,1.000000000000e+60,1.975660065615e+07,-1.673140300700e-04,REJECT
73,1.000000000000e+61,1.975660065615e+07,-1.673140300700e-04,REJECT
74,1.000000000000e+62,1.975660065615e+07,-1.673140300700e-04,REJECT
75,1.000000000000e+63,1.975660065615e+07,-1.673140300700e-04,REJECT
76,1.000000000000e+64,1.975660065615e+07,-1.673140300700e-04,REJECT
77,1.000000000000e+65,1.975660065615e+07,-1.673140300700e-04,REJECT
78,1.000000000000e+66,1.975660065615e+07,-1.673140300700e-04,REJECT
79,1.000000000000e+67,1.975660065615e+07,-1.673140300700e-04,REJECT
80,1.000000000000e+68,1.975660065615e+07,-1.673140300700e-04,REJECT
81,1.000000000000e+69,1.975660065615e+07,-1.673140300700e-04,REJECT
82,1.000000000000e+70,1.975660065615e+07,-1.673140300700e-04,REJECT
83,1.000000000000e+71,1.975660065615e+07,-1.673140300700e-04,REJECT
84,1.000000000000e+72,1.975660065615e+07,-1.673140300700e-04,REJECT
85,1.000000000000e+73,1.975660065615e+07,-1.673140300700e-04,REJECT
86,1.000000000000e+74,1.975660065615e+07,-1.673140300700e-04,REJECT
87,1.000000000000e+75,1.975660065615e+07,-1.673140300700e-04,REJECT
