Volume_m3_per_mol,Experimental_Pa,Fitted_Pa,Residual_Pa
8.314470000000e-02,9.978494534200e+03,9.979867904807e+03,-1.373370607353e+00
7.558609090909e-02,1.097944856499e+04,1.097564114145e+04,3.807423543549e+00
6.928725000000e-02,1.197611424536e+04,1.197101191376e+04,5.102331602209e+00
6.395746153846e-02,1.296410192866e+04,1.296598022174e+04,-1.878293082527e+00
5.938907142857e-02,1.396366948510e+04,1.396054606538e+04,3.123419719359e+00
5.542980000000e-02,1.495773638141e+04,1.495470944469e+04,3.026936722270e+00
5.196543750000e-02,1.594077383326e+04,1.594847035966e+04,-7.696526407915e+00
4.890864705882e-02,1.694076222178e+04,1.694182881030e+04,-1.066588522393e+00
4.619150000000e-02,1.794105498726e+04,1.793478479661e+04,6.270190651565e+00
4.376036842105e-02,1.892498573060e+04,1.892733831858e+04,-2.352587980793e+00
4.157235000000e-02,1.991849689956e+04,1.991948937622e+04,-9.924766582044e-01
3.959271428571e-02,2.090428758251e+04,2.091123796953e+04,-6.950387019104e+00
3.779304545455e-02,2.190120869160e+04,2.190258409850e+04,-1.375406894578e+00
3.614986956522e-02,2.288667824793e+04,2.289352776314e+04,-6.849515207079e+00
3.464362500000e-02,2.388717566335e+04,2.388406896344e+04,3.106699914453e+00
3.325788000000e-02,2.486244447676e+04,2.487420769941e+04,-1.176322264560e+01
3.197873076923e-02,2.585152653229e+04,2.586394397104e+04,-1.241743875511e+01
3.079433333333e-02,2.686656878762e+04,2.685327777835e+04,1.329100927292e+01
2.969453571429e-02,2.784243101164e+04,2.784220912131e+04,2.218903268258e-01
2.867058620690e-02,2.883517190316e+04,2.883073799995e+04,4.433903216002e+00
2.771490000000e-02,2.983186387046e+04,2.981886441425e+04,1.299945621308e+01
2.682087096774e-02,3.081171294547e+04,3.080658836421e+04,5.124581257376e+00
2.598271875000e-02,3.179823507081e+04,3.179390984984e+04,4.325220969273e+00
2.519536363636e-02,3.279725499578e+04,3.278082887114e+04,1.642612463459e+01
2.445432352941e-02,3.377531521691e+04,3.376734542811e+04,7.969788800365e+00
2.375562857143e-02,3.474293663817e+04,3.475345952074e+04,-1.052288256654e+01
2.309575000000e-02,3.574519688121e+04,3.573917114903e+04,6.025732176233e+00
2.247154054054e-02,3.672240742731e+04,3.672448031300e+04,-2.072885682093e+00
2.188018421053e-02,3.771495710565e+04,3.770938701262e+04,5.570093024369e+00
2.131915384615e-02,3.870137317307e+04,3.869389124792e+04,7.481925155989e+00
2.078617500000e-02,3.968695848235e+04,3.967799301888e+04,8.965463467735e+00
2.027919512195e-02,4.064155499966e+04,4.066169232551e+04,-2.013732584081e+01
1.979635714286e-02,4.162506038810e+04,4.164498916780e+04,-1.992877969986e+01
1.933597674419e-02,4.261790504158e+04,4.262788354576e+04,-9.978504174156e+00
1.889652272727e-02,4.360567417532e+04,4.361037545938e+04,-4.701284066781e+00
1.847660000000e-02,4.461255114482e+04,4.459246490867e+04,2.008623614202e+01
1.807493478261e-02,4.558741510086e+04,4.557415189363e+04,1.326320723079e+01
1.769036170213e-02,4.655921914023e+04,4.655543641425e+04,3.782725973564e+00
1.732181250000e-02,4.753522653205e+04,4.753631847054e+04,-1.091938493541e+00
1.696830612245e-02,4.853233321977e+04,4.851679806250e+04,1.553515727302e+01
1.662894000000e-02,4.949543070741e+04,4.949687519012e+04,-1.444482707222e+00
1.630288235294e-02,5.045937257655e+04,5.047654985341e+04,-1.717727686142e+01
1.598936538462e-02,5.143170486410e+04,5.145582205236e+04,-2.411718826559e+01
1.568767924528e-02,5.245595969366e+04,5.243469178698e+04,2.126790668208e+01
1.539716666667e-02,5.340476048191e+04,5.341315905727e+04,-8.398575361265e+00
1.511721818182e-02,5.440796572260e+04,5.439122386322e+04,1.674185937678e+01
1.484726785714e-02,5.534344822833e+04,5.536888620484e+04,-2.543797650332e+01
1.458678947368e-02,5.633229421244e+04,5.634614608212e+04,-1.385186967779e+01
1.433529310345e-02,5.732069274424e+04,5.732300349507e+04,-2.310750834222e+00
1.409232203390e-02,5.832259702409e+04,5.829945844369e+04,2.313858040372e+01
1.385745000000e-02,5.929452520988e+04,5.927551092797e+04,1.901428190891e+01
1.363027868852e-02,6.025256391824e+04,6.025116094792e+04,1.402970322735e+00
1.341043548387e-02,6.121743779844e+04,6.122640850353e+04,-8.970705089450e+00
1.319757142857e-02,6.218561355437e+04,6.220125359481e+04,-1.564004043972e+01
1.299135937500e-02,6.315984670737e+04,6.317569622176e+04,-1.584951438446e+01
1.279149230769e-02,6.412972585381e+04,6.414973638437e+04,-2.001053056355e+01
1.259768181818e-02,6.510140043636e+04,6.512337408265e+04,-2.197364629525e+01
1.240965671642e-02,6.607495737764e+04,6.609660931660e+04,-2.165193895654e+01
1.222716176471e-02,6.708186626665e+04,6.706944208621e+04,1.242418043919e+01
1.204995652174e-02,6.807037276247e+04,6.804187239148e+04,2.850037098883e+01
1.187781428571e-02,6.898259789048e+04,6.901390023243e+04,-3.130234194490e+01
1.171052112676e-02,6.997374467488e+04,6.998552560904e+04,-1.178093415772e+01
1.154787500000e-02,7.098256362577e+04,7.095674852131e+04,2.581510445710e+01
1.138968493151e-02,7.195199497518e+04,7.192756896925e+04,2.442600592387e+01
1.123577027027e-02,7.289515418642e+04,7.289798695286e+04,-2.832766438980e+00
1.108596000000e-02,7.386529501232e+04,7.386800247213e+04,-2.707459811762e+00
1.094009210526e-02,7.483858023605e+04,7.483761552707e+04,9.647089809296e-01
1.079801298701e-02,7.583950416982e+04,7.580682611768e+04,3.267805214284e+01
1.065957692308e-02,7.678626339099e+04,7.677563424395e+04,1.062914704024e+01
1.052464556962e-02,7.772704406687e+04,7.774403990589e+04,-1.699583901551e+01
1.039308750000e-02,7.871510131540e+04,7.871204310349e+04,3.058211908516e+00
1.026477777778e-02,7.968147344683e+04,7.967964383676e+04,1.829610067754e+00
1.013959756098e-02,8.062031611950e+04,8.064684210570e+04,-2.652598619869e+01
1.001743373494e-02,8.164035093489e+04,8.161363791030e+04,2.671302459022e+01
